0.506694360 10.0.0.1:44798 10.0.0.2:5001 32 0x547ab958 0x547a3198 30 24 72704 8
0.506764875 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.509133924 10.0.0.1:44798 10.0.0.2:5001 32 0x547ab958 0x547a3ce8 30 24 72704 8
0.509280073 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.512051399 10.0.0.1:44798 10.0.0.2:5001 32 0x547af1e8 0x547a4838 30 24 72704 8
0.512203650 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.513904703 10.0.0.1:44798 10.0.0.2:5001 32 0x547afd38 0x547a5388 30 24 72704 8
0.515579234 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.516506137 10.0.0.1:44798 10.0.0.2:5001 32 0x547b02e0 0x547a5ed8 30 24 72704 8
0.516654148 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.518900189 10.0.0.1:44798 10.0.0.2:5001 32 0x547b02e0 0x547a6a28 30 24 72704 8
0.520243130 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.522169924 10.0.0.1:44798 10.0.0.2:5001 32 0x547b02e0 0x547a7578 30 24 72704 8
0.522521440 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.525883814 10.0.0.1:44798 10.0.0.2:5001 32 0x547b02e0 0x547a80c8 30 24 72704 8
0.526105379 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.526193044 10.0.0.1:44798 10.0.0.2:5001 32 0x547b35c8 0x547a8c18 30 24 75776 8
0.526662128 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.528410178 10.0.0.1:44798 10.0.0.2:5001 32 0x547b4118 0x547a9768 30 24 75776 8
0.529100474 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.530872692 10.0.0.1:44798 10.0.0.2:5001 32 0x547b46c0 0x547aa2b8 30 24 75776 8
0.531057053 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.533344127 10.0.0.1:44798 10.0.0.2:5001 32 0x547b46c0 0x547aae08 30 24 75776 8
0.534068880 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.535832706 10.0.0.1:44798 10.0.0.2:5001 32 0x547b46c0 0x547ab958 30 24 75776 9
0.536057456 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.539126192 10.0.0.1:44798 10.0.0.2:5001 32 0x547b46c0 0x547ac4a8 30 24 75776 8
0.539329171 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.540523158 10.0.0.1:44798 10.0.0.2:5001 32 0x547b79a8 0x547acff8 30 24 75776 8
0.541430881 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.542616013 10.0.0.1:44798 10.0.0.2:5001 32 0x547b84f8 0x547adb48 30 24 75776 8
0.544534134 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.545432869 10.0.0.1:44798 10.0.0.2:5001 32 0x547b8aa0 0x547ae698 31 24 75776 8
0.545568588 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.547959003 10.0.0.1:44798 10.0.0.2:5001 32 0x547b8aa0 0x547af1e8 31 24 75776 8
0.549280313 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.550395027 10.0.0.1:44798 10.0.0.2:5001 32 0x547b8aa0 0x547afd38 31 24 75776 8
0.550471406 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.552826267 10.0.0.1:44798 10.0.0.2:5001 32 0x547b8aa0 0x547b0888 31 24 75776 8
0.553423052 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.555290421 10.0.0.1:44798 10.0.0.2:5001 32 0x547bc330 0x547b13d8 31 24 75776 8
0.555461717 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.557774325 10.0.0.1:44798 10.0.0.2:5001 32 0x547bce80 0x547b1f28 31 24 75776 8
0.558588492 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.559647639 10.0.0.1:44798 10.0.0.2:5001 32 0x547bd428 0x547b2a78 31 24 75776 8
0.559795498 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
